month,freq,excess,industry
7,8,0.023683902,元件Ⅱ
7,8,0.060483173,航空运输Ⅱ
7,8,0.052427128,机场Ⅱ
7,8,0.03851519,其他建材Ⅱ
7,8,0.076444819,互联网传媒
7,8,0.041597198,文化传媒
7,8,0.061412302,其他交运设备Ⅱ
7,7,0.029693131,农业综合Ⅱ
7,7,0.079204367,渔业
7,7,0.03457234,畜禽养殖Ⅱ
7,7,0.044383951,动物保健Ⅱ
7,7,0.087258635,煤炭开采Ⅱ
7,7,0.02012418,化学制品
7,7,0.04730214,石油化工
7,7,0.057493301,稀有金属
7,7,0.089138459,工业金属
7,7,0.025631428,通用机械
7,7,0.024743899,光学光电子
7,7,0.024746324,汽车零部件Ⅱ
7,7,0.027664922,食品加工
7,7,0.044923693,纺织制造
7,7,0.038443268,造纸Ⅱ
7,7,0.042708827,水务Ⅱ
7,7,0.017267934,高速公路Ⅱ
7,7,0.074226307,物流Ⅱ
7,7,0.063615275,房地产开发Ⅱ
7,7,0.051768029,园区开发Ⅱ
7,7,0.038803751,多元金融Ⅱ
7,7,0.044669167,贸易Ⅱ
7,7,0.060196129,餐饮Ⅱ
7,7,0.024633233,综合Ⅱ
7,7,0.05672531,航空装备Ⅱ
7,7,0.060911487,地面兵装Ⅱ
7,6,0.06665964,其他采掘Ⅱ
7,6,0.041169165,石油开采Ⅱ
7,6,0.032600829,化学原料
7,6,0.027835245,塑料Ⅱ
7,6,0.04492252,专用设备
7,6,0.077995116,电子制造Ⅱ
7,6,0.030447244,服装家纺
7,6,0.050408165,化学制药
7,6,0.067219222,航运Ⅱ
7,6,0.042255469,酒店Ⅱ
7,6,0.051274564,玻璃制造Ⅱ
7,6,0.023020624,电源设备
7,6,0.031029216,高低压设备
7,5,0.009167952,种植业
7,5,0.044964272,金属非金属新材料
7,5,0.053743212,半导体
7,5,0.022112587,通信设备
7,5,0.036997629,白色家电
7,5,0.068372693,家用轻工
7,5,0.069429564,医疗器械Ⅱ
7,5,0.039854629,环保工程及服务Ⅱ
7,5,0.066666406,港口Ⅱ
7,5,0.035642995,公交Ⅱ
7,5,0.059686634,证券Ⅱ
7,5,0.023017341,一般零售
7,5,0.034671159,旅游综合Ⅱ
7,4,0.064209568,农产品加工
7,4,0.079792752,橡胶
7,4,0.047858435,运输设备Ⅱ
7,4,0.059325464,汽车服务Ⅱ
7,4,0.029819935,计算机设备Ⅱ
7,4,0.030300974,生物制品Ⅱ
7,4,0.025847704,中药Ⅱ
7,4,0.021939481,电力
7,4,0.030405154,铁路运输Ⅱ
7,4,0.045483305,银行Ⅱ
7,4,0.025783862,专业零售
7,4,0.01471217,计算机应用
7,4,0.050981678,水泥制造Ⅱ
7,4,0.059342487,电机Ⅱ
7,4,0.07146234,电气自动化设备
7,3,0.128879856,林业Ⅱ
7,3,0.038032854,视听器材
7,3,0.055499368,通信运营Ⅱ
7,2,0.054193544,医药商业Ⅱ
8,11,0.033891281,酒店Ⅱ
8,10,0.058803372,林业Ⅱ
8,10,0.066180628,景点
8,9,0.051136291,渔业
8,9,0.027613098,汽车零部件Ⅱ
8,9,0.033902569,物流Ⅱ
8,8,0.055706099,农业综合Ⅱ
8,8,0.048749592,饲料Ⅱ
8,8,0.057843845,种植业
8,8,0.048037584,畜禽养殖Ⅱ
8,8,0.023451661,通用机械
8,8,0.026683107,专用设备
8,8,0.126596223,电子制造Ⅱ
8,8,0.045155912,中药Ⅱ
8,8,0.050501994,一般零售
8,8,0.075242444,旅游综合Ⅱ
8,8,0.02596219,综合Ⅱ
8,8,0.05288575,航空装备Ⅱ
8,7,0.074757693,动物保健Ⅱ
8,7,0.028195507,化学原料
8,7,0.029299986,化学制品
8,7,0.017391796,石油化工
8,7,0.020412547,塑料Ⅱ
8,7,0.095921762,橡胶
8,7,0.062229596,仪器仪表Ⅱ
8,7,0.034708008,元件Ⅱ
8,7,0.036488253,通信设备
8,7,0.053043875,食品加工
8,7,0.028781945,纺织制造
8,7,0.03284838,服装家纺
8,7,0.025208937,包装印刷Ⅱ
8,7,0.057990194,家用轻工
8,7,0.059869107,化学制药
8,7,0.065914829,医药商业Ⅱ
8,7,0.044533381,机场Ⅱ
8,7,0.046970506,多元金融Ⅱ
8,7,0.074772445,证券Ⅱ
8,7,0.053452026,专业零售
8,7,0.038705846,计算机应用
8,7,0.050088265,电机Ⅱ
8,7,0.056996816,电气自动化设备
8,7,0.025488176,电源设备
8,6,0.05472185,其他采掘Ⅱ
8,6,0.06767181,金属非金属新材料
8,6,0.068114794,运输设备Ⅱ
8,6,0.046876031,半导体
8,6,0.028193753,光学光电子
8,6,0.03363784,环保工程及服务Ⅱ
8,6,0.012454301,航运Ⅱ
8,6,0.032780807,铁路运输Ⅱ
8,6,0.033536562,房地产开发Ⅱ
8,6,0.064936069,银行Ⅱ
8,6,0.02349811,贸易Ⅱ
8,6,0.041050269,餐饮Ⅱ
8,6,0.041896825,水泥制造Ⅱ
8,6,0.042470118,高低压设备
8,6,0.062900522,地面兵装Ⅱ
8,6,0.049985443,互联网传媒
8,5,0.056835391,农产品加工
8,5,0.031293513,石油开采Ⅱ
8,5,0.060140105,其他电子Ⅱ
8,5,0.056202136,汽车服务Ⅱ
8,5,0.028558923,汽车整车
8,5,0.026702395,计算机设备Ⅱ
8,5,0.029536425,白色家电
8,5,0.070984049,饮料制造
8,5,0.042207474,造纸Ⅱ
8,5,0.058380899,医疗器械Ⅱ
8,5,0.039777379,公交Ⅱ
8,5,0.074278937,玻璃制造Ⅱ
8,5,0.020127913,文化传媒
8,4,0.038100359,化学纤维
8,4,0.107444023,稀有金属
8,4,0.013732187,视听器材
8,4,0.065551948,生物制品Ⅱ
8,4,0.010126159,电力
8,4,0.015162477,水务Ⅱ
8,4,0.045981992,港口Ⅱ
8,4,0.109768579,航空运输Ⅱ
8,4,0.032502006,高速公路Ⅱ
8,4,0.023411201,其他建材Ⅱ
8,4,0.053843066,其他交运设备Ⅱ
8,3,0.066713907,工业金属
8,3,0.022715226,园区开发Ⅱ
8,3,0.037624406,通信运营Ⅱ
8,2,0.025096271,煤炭开采Ⅱ
8,2,0.094790349,钢铁Ⅱ
9,9,0.054561329,金属非金属新材料
9,9,0.03217417,专用设备
9,9,0.048632646,汽车整车
9,9,0.026025271,中药Ⅱ
9,9,0.081481324,铁路运输Ⅱ
9,8,0.066860936,煤炭开采Ⅱ
9,8,0.074008547,其他采掘Ⅱ
9,8,0.099396637,稀有金属
9,8,0.048170009,运输设备Ⅱ
9,8,0.040206636,半导体
9,8,0.044291044,通信设备
9,8,0.02722727,饮料制造
9,8,0.016153803,园区开发Ⅱ
9,8,0.062401957,证券Ⅱ
9,8,0.030059686,贸易Ⅱ
9,8,0.032738151,景点
9,8,0.039556528,电源设备
9,8,0.031296919,文化传媒
9,7,0.046863778,石油化工
9,7,0.024875476,塑料Ⅱ
9,7,0.051707915,工业金属
9,7,0.024359778,通用机械
9,7,0.057240136,电子制造Ⅱ
9,7,0.031528675,汽车零部件Ⅱ
9,7,0.026302228,港口Ⅱ
9,7,0.004084663,公交Ⅱ
9,7,0.030809399,机场Ⅱ
9,7,0.026743173,计算机应用
9,7,0.122649518,通信运营Ⅱ
9,7,0.06106767,电气自动化设备
9,7,0.056120935,高低压设备
9,7,0.054944894,航空装备Ⅱ
9,7,0.040824853,地面兵装Ⅱ
9,6,0.047394927,林业Ⅱ
9,6,0.035798481,动物保健Ⅱ
9,6,0.065100794,石油开采Ⅱ
9,6,0.036384022,化学纤维
9,6,0.020636849,化学原料
9,6,0.017575035,橡胶
9,6,0.032153534,钢铁Ⅱ
9,6,0.055800396,仪器仪表Ⅱ
9,6,0.038816531,白色家电
9,6,0.057360337,食品加工
9,6,0.010860407,纺织制造
