trade_code,industry
002264.SZ,一般零售
002265.SZ,汽车零部件Ⅱ
002266.SZ,电源设备
002267.SZ,燃气Ⅱ
002268.SZ,计算机应用
002269.SZ,服装家纺
002270.SZ,通用机械
002271.SZ,其他建材Ⅱ
002272.SZ,通用机械
002273.SZ,光学光电子
002274.SZ,化学制品
002275.SZ,中药Ⅱ
002276.SZ,高低压设备
002277.SZ,一般零售
002278.SZ,专用设备
002279.SZ,计算机应用
002280.SZ,计算机应用
002281.SZ,通信设备
002282.SZ,通用机械
002283.SZ,汽车零部件Ⅱ
002284.SZ,汽车零部件Ⅱ
002285.SZ,房地产开发Ⅱ
002286.SZ,农产品加工
002287.SZ,中药Ⅱ
002288.SZ,元件Ⅱ
002289.SZ,光学光电子
002290.SZ,白色家电
002291.SZ,服装家纺
002292.SZ,文化传媒
002293.SZ,服装家纺
002294.SZ,化学制药
002295.SZ,工业金属
002296.SZ,计算机应用
002297.SZ,航空装备Ⅱ
002298.SZ,高低压设备
002299.SZ,畜禽养殖Ⅱ
002300.SZ,高低压设备
002301.SZ,家用轻工
002302.SZ,其他建材Ⅱ
002303.SZ,包装印刷Ⅱ
002304.SZ,饮料制造
002305.SZ,房地产开发Ⅱ
002306.SZ,餐饮Ⅱ
002307.SZ,基础建设
002308.SZ,计算机设备Ⅱ
002309.SZ,电源设备
002310.SZ,园林工程Ⅱ
002311.SZ,饲料Ⅱ
002312.SZ,计算机设备Ⅱ
002313.SZ,通信设备
002314.SZ,其他建材Ⅱ
002315.SZ,互联网传媒
002316.SZ,通信设备
002317.SZ,中药Ⅱ
002318.SZ,钢铁Ⅱ
002319.SZ,化学制品
002320.SZ,航运Ⅱ
002321.SZ,畜禽养殖Ⅱ
002322.SZ,电气自动化设备
002323.SZ,高低压设备
002324.SZ,塑料Ⅱ
002325.SZ,装修装饰Ⅱ
002326.SZ,化学制品
002327.SZ,服装家纺
002328.SZ,汽车零部件Ⅱ
002329.SZ,食品加工
002330.SZ,食品加工
002331.SZ,计算机应用
002332.SZ,化学制药
002333.SZ,其他建材Ⅱ
002334.SZ,电气自动化设备
002335.SZ,电源设备
002336.SZ,一般零售
002337.SZ,专用设备
002338.SZ,仪器仪表Ⅱ
002339.SZ,电气自动化设备
002340.SZ,金属非金属新材料
002341.SZ,环保工程及服务Ⅱ
002342.SZ,金属制品Ⅱ
002343.SZ,塑料Ⅱ
002344.SZ,商业物业经营
002345.SZ,家用轻工
002346.SZ,其他建材Ⅱ
002347.SZ,通用机械
002348.SZ,家用轻工
002349.SZ,中药Ⅱ
002350.SZ,高低压设备
002351.SZ,电子制造Ⅱ
002352.SZ,金属制品Ⅱ
002353.SZ,专用设备
002354.SZ,互联网传媒
002355.SZ,汽车零部件Ⅱ
002356.SZ,电气自动化设备
002357.SZ,公交Ⅱ
002358.SZ,高低压设备
002359.SZ,高低压设备
002360.SZ,化学制品
002361.SZ,化学制品
002362.SZ,计算机应用
002363.SZ,汽车零部件Ⅱ
002364.SZ,电源设备
002365.SZ,化学制药
002366.SZ,白色家电
002367.SZ,专用设备
002368.SZ,计算机应用
002369.SZ,电子制造Ⅱ
002370.SZ,化学制药
002371.SZ,半导体
002372.SZ,其他建材Ⅱ
002373.SZ,计算机应用
002374.SZ,包装印刷Ⅱ
002375.SZ,装修装饰Ⅱ
002376.SZ,计算机设备Ⅱ
002377.SZ,石油化工
002378.SZ,稀有金属
002379.SZ,工业金属
002380.SZ,计算机应用
002381.SZ,橡胶
002382.SZ,塑料Ⅱ
002383.SZ,计算机设备Ⅱ
002384.SZ,电子制造Ⅱ
002385.SZ,饲料Ⅱ
002386.SZ,化学原料
002387.SZ,饮料制造
002388.SZ,其他电子Ⅱ
002389.SZ,元件Ⅱ
002390.SZ,医疗服务Ⅱ
002391.SZ,化学制品
002392.SZ,其他建材Ⅱ
002393.SZ,化学制药
002394.SZ,纺织制造
002395.SZ,塑料Ⅱ
002396.SZ,通信设备
002397.SZ,服装家纺
002398.SZ,其他建材Ⅱ
002399.SZ,化学制药
002400.SZ,营销传播
002401.SZ,计算机应用
002402.SZ,电子制造Ⅱ
002403.SZ,白色家电
002404.SZ,纺织制造
002405.SZ,计算机应用
