"datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2","net_value","position"
"2007-09-06",41167946.50307,-0.000956562038103681,7305064.50306998,33862882,-29224999.8,40442912.50307,NA,1.37226488343567,1
"2007-09-07",41124393.30307,-0.00105793957920042,7938171.30306998,33186222,-28591893,40493844.30307,NA,1.37081311010233,1
"2007-09-10",41188405.50307,0.0015565506226014,7493065.50306998,33695340,-29036998.8,39623246.50307,NA,1.37294685010233,1
"2007-09-11",40755098.50307,-0.0105201207647549,8859967.50306998,31895131,-27670096.8,40330756.50307,NA,1.35850328343567,1
"2007-09-12",40841952.90307,0.0021311296792339,8434641.90306998,32407311,-28095422.4,39424443.90307,NA,1.36139843010233,1
"2007-09-13",41100989.30307,0.00634240974261857,7640226.30306997,33460763,-28889838,39771371.30307,NA,1.370032976769,1
"2007-09-14",41222952.10307,0.00296739329315598,7384763.10306998,33838189,-29145301.2,40108763.10307,NA,1.37409840343567,1
"2007-09-17",41162737.10307,-0.00146071537645931,6835961.10306997,34326776,-29694103.2,40137128.10307,NA,1.372091236769,1
"2007-09-18",41041119.70307,-0.00295455085252183,6955133.70306997,34085986,-29574930.6,40305412.70307,NA,1.36803732343567,1
"2007-09-19",41234645.10307,0.00471540253775116,7266017.10306998,33968628,-29264047.2,40538711.10307,NA,1.37448817010233,1
"2007-09-20",41339348.30307,0.00253920458726609,6857523.30306998,34481825,-29672541,40371315.30307,NA,1.377978276769,1
"2007-09-21",41660435.10307,0.00776709873716497,7002335.10306998,34658100,-29527729.2,40444955.10307,NA,1.38868117010233,1
"2007-09-24",41593013.30307,-0.00161836523870185,6755031.30306997,34837982,-29775033,40609003.30307,NA,1.386433776769,1
"2007-09-25",41185317.30307,-0.00980203086103171,7075143.30306998,34110174,-29454921,40560251.30307,NA,1.37284391010233,1
"2007-09-26",41032215.90307,-0.0037173781829426,7580550.90306998,33451665,-28949513.4,40495342.90307,NA,1.36774053010233,1
"2007-09-27",41328917.50307,0.0072309426500603,7220716.50306997,34108201,-29309347.8,40122966.50307,NA,1.37763058343567,1
"2007-09-28",41475337.10307,0.00354278816978759,6393674.10306997,35081663,-30136390.2,40525403.10307,0.0214621151679928,1.382511236769,1
"2007-10-08",40853523.14212,-0.0149923787094181,8012757.14211997,32840766,-30526934.4,40435621.14212,NA,1.36178410473733,1
"2007-10-09",41378577.74212,0.0128521253399239,7889685.74211997,33488892,-30650005.8,39849130.74212,NA,1.37928592473733,1
