"datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2","beta","net_value","position"
"2007-04-11",38432815.78118,-0.00513027059011295,2039628.78118001,36393187,-32773849.5,37453418.78118,NA,0.900549036829338,1.28109385937267,1
"2007-04-12",39058310.78118,0.0162750240201315,1460889.78118,37597421,-33352588.5,37562454.78118,NA,0.887097774605338,1.301943692706,1
"2007-04-13",39245341.78118,0.00478850713866819,1536531.78118,37708810,-33276946.5,38537287.78118,NA,0.882471403897392,1.30817805937267,1
"2007-04-16",39225001.28118,-0.000518290810497035,625499.281180004,38599502,-34187979,38149303.28118,NA,0.885710364864293,1.307500042706,1
"2007-04-17",39609404.28118,0.00979994869202039,335636.281180004,39273768,-34477842,38132117.28118,NA,0.877884749943015,1.32031347603933,1
"2007-04-18",40682857.78118,0.0271009756263878,116217.781180004,40566640,-34697260.5,38858869.78118,NA,0.855315118530891,1.35609525937267,1
"2007-04-19",40948977.78118,0.00654133004695434,1735296.78118,39213681,-33078181.5,39676472.78118,NA,0.843536762080561,1.36496592603933,1
"2007-04-20",41365001.28118,0.0101595576383644,276017.281180004,41088984,-34537461,39594542.28118,NA,0.840552810943196,1.37883337603933,1
"2007-04-23",41990226.28118,0.0151148309110403,-1215360.71882,43205587,-36028839,40303637.28118,NA,0.833893056469757,1.39967420937267,1
"2007-04-24",42550401.28118,0.0133406044599258,-1361079.71882,43911481,-36174558,41156430.28118,NA,0.823806375375952,1.41834670937267,1
"2007-04-25",42597888.78118,0.00111602942792932,-1393472.21882,43991361,-36206950.5,40919917.78118,NA,0.823046836400447,1.41992962603933,1
"2007-04-26",42786582.78118,0.00442965614961111,-1869122.21882,44655705,-36682600.5,41599599.78118,NA,0.821453843355513,1.42621942603933,1
"2007-04-27",42594127.78118,-0.00449802221841966,-1627013.21882,44221141,-36440491.5,41557390.78118,NA,0.82405136267289,1.41980425937267,1
"2007-04-30",42644872.78118,0.00119136140692189,-2552966.21882,45197839,-37366444.5,41044671.78118,0.127467710238389,0.826730775778904,1.42149575937267,1
"2007-05-08",42530386.62726,-0.00268464053128847,4535324.62726001,37995062,-34280079,41106238.62726,NA,0.902224583815655,1.417679554242,1
"2007-05-09",41585798.52726,-0.0222097228571763,4393527.52726001,37192271,-34421876.1,39920555.52726,NA,0.925511542438481,1.386193284242,1
"2007-05-10",41770496.62726,0.00444137437637337,4177460.62726001,37593036,-34637943,40339741.62726,NA,0.921392541959101,1.39234988757533,1
"2007-05-11",41931156.02726,0.00384624107856912,4381112.02726001,37550044,-34434291.6,40748150.02726,NA,0.917024001356696,1.39770520090867,1
"2007-05-14",42222901.62726,0.00695772851600696,4085297.62726001,38137604,-34730106,40889377.62726,NA,0.910652541255607,1.407430054242,1
"2007-05-15",42830777.82726,0.0143968362327693,5292288.82726001,37538489,-33523114.8,42008893.82726,NA,0.893033142596656,1.427692594242,1
"2007-05-16",43233676.52726,0.00940675655307799,4402734.52726001,38830942,-34412669.1,41125090.52726,NA,0.886217725544747,1.44112255090867,1
"2007-05-17",43159388.12726,-0.00171829938990176,3674377.12726001,39485011,-35141026.5,42025300.12726,NA,0.889983961255576,1.43864627090867,1
