"datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2","net value"
"2008-04-23",46370392.59958,0.000812405883537926,10310354.59958,36060038,-32119661.1,43923439.59958,NA,1.54567975331933
"2008-04-24",46837110.49958,0.0100649978107847,7327128.49958001,39509982,-35102887.2,44985471.49958,NA,1.56123701665267
"2008-04-25",46516555.69958,-0.00684403449702298,7061464.69958001,39455091,-35368551,45312935.69958,NA,1.55055185665267
"2008-04-28",46380395.49958,-0.00292713417733192,7748883.49958,38631512,-34681132.2,45683331.49958,NA,1.54601318331933
"2008-04-29",47305808.79958,0.0199526823786653,7304445.79958,40001363,-35125569.9,45569213.79958,NA,1.57686029331933
"2008-04-30",47171445.99958,-0.00284030235206945,5610208.99958,41561237,-36819806.7,45453086.99958,NA,1.57238153331933
"2008-05-05",47381023.99958,0.00444289963046418,4711270.99958,42669753,-37718744.7,46084877.99958,0.0437370427575805,1.57936746665267
"2008-05-06",47452753.65756,0.00151388999065616,9750649.65756,37702104,-32488192.8,46379645.65756,NA,1.581758455252
"2008-05-07",47433257.55756,-0.000410852869376033,11286158.55756,36147099,-30952683.9,47268671.55756,NA,1.581108585252
"2008-05-08",47357031.35756,-0.00160702013576663,10446010.35756,36911021,-31792832.1,45509720.35756,NA,1.57856771191867
"2008-05-09",47405039.05756,0.0010137396416916,10819558.05756,36585481,-31419284.4,46567520.05756,NA,1.58016796858533
"2008-05-12",47921664.45756,0.0108981114723419,10608990.45756,37312674,-31629852,45992812.45756,NA,1.597388815252
"2008-05-13",48644854.75756,0.0150910931034223,11040177.75756,37604677,-31198664.7,46916415.75756,NA,1.62149515858533
"2008-05-14",48607481.25756,-0.000768292971297102,10035008.25756,38572473,-32203834.2,47309717.25756,NA,1.620249375252
"2008-05-15",47880984.65756,-0.014946188965243,10259329.65756,37621655,-31979512.8,47750529.65756,NA,1.59603282191867
"2008-05-16",47495488.35756,-0.0080511355970857,10356262.35756,37139226,-31882580.1,46669096.35756,NA,1.583182945252
"2008-05-19",47648358.25756,0.00321861939494439,10534859.25756,37113499,-31703983.2,46713166.25756,NA,1.58827860858533
"2008-05-20",46716933.65756,-0.019547884419548,12181216.65756,34535717,-30057625.8,46351911.65756,NA,1.55723112191867
"2008-05-21",46878957.55756,0.00346820493801347,11596145.55756,35282812,-30642696.9,44529544.55756,NA,1.56263191858533
"2008-05-22",46820463.05756,-0.00124777731945447,12176146.05756,34644317,-30062696.4,46286211.05756,NA,1.56068210191867
"2008-05-23",46604108.75756,-0.00462093464846824,12470151.75756,34133957,-29768690.7,45609393.75756,NA,1.55347029191867
"2008-05-26",46083563.75756,-0.0111695087381229,13409184.75756,32674379,-28829657.7,45766399.75756,NA,1.53611879191867
"2008-05-27",46191858.75756,0.00234997016658101,13271646.75756,32920212,-28967195.7,45300134.75756,NA,1.539728625252
"2008-05-28",46138420.45756,-0.00115687702199818,12461379.45756,33677041,-29777463,45018420.45756,NA,1.53794734858533
"2008-05-29",46032762.65756,-0.00229001771088344,13233811.65756,32798951,-29005030.8,45856633.65756,NA,1.53442542191867
"2008-05-30",45945503.45756,-0.00189558903186238,12987069.45756,32958434,-29251773,45192152.45756,NA,1.53151678191867
"2008-06-02",45865745.85756,-0.00173591742386003,12869651.85756,32996094,-29369190.6,45197648.85756,-0.0334439558861548,1.528858195252
"2008-06-03",45572128.021,-0.00640168018790865,9112628.021,36459500,-32526999,44963930.021,NA,1.51907093403333
"2008-06-04",45678122.021,0.00232585144918285,9717383.021,35960739,-31922244,45149988.021,NA,1.52260406736667
"2008-06-05",45582969.021,-0.00208311979105114,10030385.021,35552584,-31609242,45133152.021,NA,1.5194323007
"2008-06-06",45688942.021,0.00232483759342617,10234109.021,35454833,-31405518,45197522.021,NA,1.52296473403333
"2008-06-10",45476067.021,-0.00465922366734073,12780569.021,32695498,-28859058,45230766.021,NA,1.5158689007
"2008-06-11",45313761.021,-0.00356904214968834,13376936.021,31936825,-28262691,44635262.021,NA,1.5104587007
"2008-06-12",45092042.021,-0.00489297279687839,13877930.021,31214112,-27761697,44180596.021,NA,1.50306806736667
"2008-06-13",45231498.021,0.00309269648810861,14827574.021,30403924,-26812053,44841641.021,NA,1.5077166007
"2008-06-16",44917316.021,-0.00694608875996394,15069449.021,29847867,-26570178,44199684.021,NA,1.49724386736667
"2008-06-17",44673287.021,-0.00543284910180075,16055543.021,28617744,-25584084,44233759.021,NA,1.48910956736667
"2008-06-18",44733410.021,0.00134583783753661,14718170.021,30015240,-26921457,42323225.021,NA,1.49111366736667
"2008-06-19",44722105.021,-0.000252719387918154,16681943.021,28040162,-24957684,44353213.021,NA,1.49073683403333
"2008-06-20",45124831.021,0.00900507701529007,15992615.021,29132216,-25647012,43589181.021,NA,1.50416103403333
"2008-06-23",45141655.021,0.000372832421071445,16530158.021,28611497,-25109469,44548552.021,NA,1.50472183403333
"2008-06-24",45125343.021,-0.000361351394679743,15972392.021,29152951,-25667235,43960252.021,NA,1.5041781007
"2008-06-25",45339568.021,0.00474733233385738,14913794.021,30425774,-26725833,43664500.021,NA,1.51131893403333
"2008-06-26",45232738.021,-0.00235622006699598,14811464.021,30421274,-26828163,44566855.021,NA,1.50775793403333
"2008-06-27",44984290.021,-0.00549265887651207,16295438.021,28688852,-25344189,44615528.021,NA,1.49947633403333
"2008-06-30",45057692.021,0.00163172520819455,16513256.021,28544436,-25126371,44420141.021,NA,1.50192306736667
"2008-07-01",45280402.021,0.00494277425253387,17354504.021,27925898,-24285123,44988691.021,-0.00640141272019534,1.50934673403333
"2008-07-02",45480860.18065,0.00442704019184803,8896705.18065001,36584155,-32395164,44638963.18065,NA,1.51602867268833
"2008-07-03",46177095.18065,0.0153083076536931,8164525.18065,38012570,-33127344,43492029.18065,NA,1.53923650602167
"2008-07-04",46598143.18065,0.00911811360920001,8389645.18065001,38208498,-32902224,45601511.18065,NA,1.553271439355
"2008-07-07",47094644.18065,0.0106549524532593,6698713.18065001,40395931,-34593156,44913328.18065,NA,1.56982147268833
"2008-07-08",47654485.18065,0.011887572562445,6469777.18065001,41184708,-34822092,46246629.18065,NA,1.588482839355
"2008-07-09",47948831.18065,0.00617666939185657,5110357.18065001,42838474,-36181512,46105595.18065,NA,1.59829437268833
"2008-07-10",47592380.18065,-0.00743398725731292,5607133.18065001,41985247,-35684736,47018634.18065,NA,1.58641267268833
"2008-07-11",47446515.18065,-0.00306488138324512,5849893.18065001,41596622,-35441976,46440282.18065,NA,1.58155050602167
"2008-07-14",47756913.18065,0.00654206107272959,5581381.18065001,42175532,-35710488,46262496.18065,NA,1.59189710602167
"2008-07-15",47869289.18065,0.00235308340752494,7056121.18065001,40813168,-34235748,47446924.18065,NA,1.59564297268833
"2008-07-16",46963715.18065,-0.0189176404224957,8344717.18065001,38618998,-32947152,46166880.18065,NA,1.56545717268833
"2008-07-17",46864536.18065,-0.00211182185264724,8675053.18065001,38189483,-32616816,46412797.18065,NA,1.56215120602167
"2008-07-18",47250222.18065,0.00822980512414095,7506325.18065001,39743897,-33785544,45120656.18065,NA,1.57500740602167
"2008-07-21",47911262.18065,0.0139901987650486,6359257.18065001,41552005,-34932612,45480334.18065,NA,1.59704207268833
"2008-07-22",48089924.18065,0.00372901885419652,6434953.18065001,41654971,-34856916,47421993.18065,NA,1.60299747268833
"2008-07-23",48084905.18065,-0.000104366976773518,6692029.18065001,41392876,-34599840,47611389.18065,NA,1.60283017268833
"2008-07-24",48165457.18065,0.0016752034697245,5563525.18065001,42601932,-35728344,46844106.18065,NA,1.605515239355
"2008-07-25",48185790.18065,0.000422149008650008,6021445.18065,42164345,-35270424,47560015.18065,NA,1.60619300602167
"2008-07-28",48458647.18065,0.00566260299928811,5761657.18065001,42696990,-35530212,47753695.18065,NA,1.615288239355
"2008-07-29",48277437.18065,-0.00373947707051048,6424309.18065001,41853128,-34867560,47626308.18065,NA,1.60924790602167
"2008-07-30",48470218.18065,0.00399319042720991,6679261.18065001,41790957,-34612608,47842772.18065,NA,1.615673939355
"2008-07-31",47986672.18065,-0.00997614655246259,7629349.18065001,40357323,-33662520,47643481.18065,NA,1.599555739355
"2008-08-01",48012416.18065,0.000536482294564822,7202413.18065001,40810003,-34089456,46285716.18065,0.0556620079291521,1.60041387268833
"2008-08-04",47997546.74569,-0.000309699784823536,10507305.74569,37490241,-32445855,47581267.74569,NA,1.59991822485633
"2008-08-05",48256372.44569,0.00539247768998208,11327136.44569,36929236,-31626024.3,47726448.44569,NA,1.60854574818967
"2008-08-06",48185541.64569,-0.00146780200023777,11109352.64569,37076189,-31843808.1,47277193.64569,NA,1.606184721523
"2008-08-07",48373007.34569,0.00389049689175325,11123989.34569,37249018,-31829171.4,47391990.34569,NA,1.61243357818967
"2008-08-08",47666008.34569,-0.0146155684501388,12633055.34569,35032953,-30320105.4,47289661.34569,NA,1.58886694485633
"2008-08-11",46939689.04569,-0.0152376782786694,14208472.04569,32731217,-28744688.7,46471611.04569,NA,1.564656301523
"2008-08-12",47017403.24569,0.00165561812572612,14356547.24569,32660856,-28596613.5,45988808.24569,NA,1.56724677485633
"2008-08-13",47043186.34569,0.000548373542989422,14350498.34569,32692688,-28602662.4,45515257.34569,NA,1.568106211523
"2008-08-14",47204289.34569,0.00342457670312046,14364070.34569,32840219,-28589090.4,46382782.34569,NA,1.573476311523
"2008-08-15",47106294.24569,-0.00207597871630594,14316065.24569,32790229,-28637095.5,46484816.24569,NA,1.57020980818967
"2008-08-18",46761325.34569,-0.00732320182523294,15886357.34569,30874968,-27066803.4,46464694.34569,NA,1.55871084485633
"2008-08-19",46566040.34569,-0.00417620755092651,15476038.34569,31090002,-27477122.4,45398909.34569,NA,1.55220134485633
"2008-08-20",46659707.74569,0.00201149591643701,13317762.74569,33341945,-29635398,43701186.74569,NA,1.555323591523
"2008-08-21",46450383.44569,-0.00448618969370485,14358606.44569,32091777,-28594554.3,46027298.44569,NA,1.54834611485633
"2008-08-22",46241097.14569,-0.00450558820993796,14815503.14569,31425594,-28137657.6,45443243.14569,NA,1.54136990485633
"2008-08-25",46060702.14569,-0.00390118338740197,14866749.14569,31193953,-28086411.6,45555759.14569,NA,1.53535673818967
"2008-08-26",45338435.34569,-0.0156807596574509,15674236.34569,29664199,-27278924.4,44667655.34569,NA,1.51128117818967
"2008-08-27",45189656.34569,-0.00328152038917118,15747244.34569,29442412,-27205916.4,44308065.34569,NA,1.50632187818967
"2008-08-28",44985408.24569,-0.00451979759344801,15623540.24569,29361868,-27329620.5,44430146.24569,NA,1.49951360818967
"2008-08-29",45250916.74569,0.00590210271183733,14970972.74569,30279944,-27982188,44250353.74569,NA,1.508363891523
"2008-09-01",45350642.04569,0.00220382938450614,15935860.04569,29414782,-27017300.7,44964604.04569,-0.055146666433273,1.51168806818967
