Code,Name,industry_sw,industry_swcode
002010.SZ,传化股份,化工,6.103E+15
002011.SZ,盾安环境,家用电器,6.111E+15
002012.SZ,凯恩股份,轻工制造,6.114E+15
002013.SZ,中航机电,国防军工,1.00001E+15
002014.SZ,永新股份,轻工制造,6.114E+15
002015.SZ,*ST霞客,化工,6.103E+15
002016.SZ,世荣兆业,房地产,6.118E+15
002017.SZ,东信和平,通信,1.00001E+15
002018.SZ,华信国际,化工,6.103E+15
002019.SZ,亿帆鑫富,医药生物,6.115E+15
002020.SZ,京新药业,医药生物,6.115E+15
002021.SZ,中捷资源,机械设备,6.107E+15
002022.SZ,科华生物,医药生物,6.115E+15
002023.SZ,海特高新,国防军工,1.00001E+15
002024.SZ,苏宁云商,商业贸易,6.12E+15
002025.SZ,航天电器,电子,6.108E+15
002026.SZ,山东威达,机械设备,6.107E+15
002027.SZ,七喜控股,计算机,1.00001E+15
002028.SZ,思源电气,电气设备,6.10701E+15
002029.SZ,七匹狼,纺织服装,6.113E+15
002030.SZ,达安基因,医药生物,6.115E+15
002031.SZ,巨轮股份,机械设备,6.107E+15
002032.SZ,苏泊尔,家用电器,6.111E+15
002033.SZ,丽江旅游,休闲服务,6.121E+15
002034.SZ,美欣达,纺织服装,6.113E+15
002035.SZ,华帝股份,家用电器,6.111E+15
002036.SZ,宜科科技,纺织服装,6.113E+15
002037.SZ,久联发展,化工,6.103E+15
002038.SZ,双鹭药业,医药生物,6.115E+15
002039.SZ,黔源电力,公用事业,6.116E+15
002040.SZ,南京港,交通运输,6.117E+15
002041.SZ,登海种业,农林牧渔,6.101E+15
002042.SZ,华孚色纺,纺织服装,6.113E+15
002043.SZ,兔宝宝,建筑材料,6.10601E+15
002044.SZ,江苏三友,纺织服装,6.113E+15
002045.SZ,国光电器,电子,6.108E+15
002046.SZ,轴研科技,机械设备,6.107E+15
002047.SZ,宝鹰股份,建筑装饰,6.10602E+15
002048.SZ,宁波华翔,汽车,1.00001E+15
002049.SZ,同方国芯,电子,6.108E+15
002050.SZ,三花股份,家用电器,6.111E+15
002051.SZ,中工国际,建筑装饰,6.10602E+15
002052.SZ,同洲电子,家用电器,6.111E+15
002053.SZ,云南盐化,化工,6.103E+15
002054.SZ,德美化工,化工,6.103E+15
002055.SZ,得润电子,电子,6.108E+15
002056.SZ,横店东磁,电子,6.108E+15
002057.SZ,中钢天源,有色金属,6.105E+15
002058.SZ,威尔泰,电气设备,6.10701E+15
002059.SZ,云南旅游,休闲服务,6.121E+15
002060.SZ,粤水电,建筑装饰,6.10602E+15
002061.SZ,江山化工,化工,6.103E+15
002062.SZ,宏润建设,建筑装饰,6.10602E+15
002063.SZ,远光软件,计算机,1.00001E+15
002064.SZ,华峰氨纶,化工,6.103E+15
002065.SZ,东华软件,计算机,1.00001E+15
002066.SZ,瑞泰科技,建筑材料,6.10601E+15
002067.SZ,景兴纸业,轻工制造,6.114E+15
002068.SZ,黑猫股份,化工,6.103E+15
002069.SZ,獐子岛,农林牧渔,6.101E+15
002070.SZ,众和股份,纺织服装,6.113E+15
002071.SZ,长城影视,轻工制造,6.114E+15
002072.SZ,凯瑞德,纺织服装,6.113E+15
002073.SZ,软控股份,机械设备,6.107E+15
002074.SZ,东源电器,电气设备,6.10701E+15
002075.SZ,沙钢股份,钢铁,6.104E+15
002076.SZ,雪莱特,电子,6.108E+15
002077.SZ,大港股份,房地产,6.118E+15
002078.SZ,太阳纸业,轻工制造,6.114E+15
002079.SZ,苏州固锝,电子,6.108E+15
002080.SZ,中材科技,化工,6.103E+15
002081.SZ,金螳螂,建筑装饰,6.10602E+15
002082.SZ,栋梁新材,建筑材料,6.10601E+15
002083.SZ,孚日股份,纺织服装,6.113E+15
002084.SZ,海鸥卫浴,轻工制造,6.114E+15
002085.SZ,万丰奥威,汽车,1.00001E+15
002086.SZ,东方海洋,农林牧渔,6.101E+15
002087.SZ,新野纺织,纺织服装,6.113E+15
002088.SZ,鲁阳股份,建筑材料,6.10601E+15
002089.SZ,新海宜,通信,1.00001E+15
002090.SZ,金智科技,电气设备,6.10701E+15
002091.SZ,江苏国泰,商业贸易,6.12E+15
002092.SZ,中泰化学,化工,6.103E+15
002093.SZ,国脉科技,通信,1.00001E+15
